,effort,latitude,longitude
75,0.0,9364000.0,515500.0
76,0.0,9364000.0,516000.0
77,0.0,9364000.0,516500.0
78,0.0,9364000.0,517000.0
79,2.2855432365997893e-07,9364000.0,517500.0
80,2.2855432365997893e-07,9364000.0,518000.0
81,1.714157427449842e-07,9364000.0,518500.0
82,0.0,9364000.0,519000.0
83,5.5787175440648285e-09,9364000.0,519500.0
84,7.438290058753105e-09,9364000.0,520000.0
85,7.438290058753105e-09,9364000.0,520500.0
86,7.438290058753105e-09,9364000.0,521000.0
87,7.438290058753105e-09,9364000.0,521500.0
88,0.0,9364000.0,522000.0
89,0.0,9364000.0,522500.0
90,0.0,9364000.0,523000.0
91,0.0,9364000.0,523500.0
92,0.0,9364000.0,524000.0
93,0.0,9364000.0,524500.0
94,0.0,9364000.0,525000.0
95,0.0,9364000.0,525500.0
96,0.0,9364000.0,526000.0
97,0.0,9364000.0,526500.0
98,0.0,9364000.0,527000.0
99,0.0,9364000.0,527500.0
100,0.0,9364000.0,528000.0
101,0.0,9364000.0,528500.0
102,0.0,9364000.0,529000.0
103,0.0,9364000.0,529500.0
104,0.0,9364000.0,530000.0
105,0.0,9364000.0,530500.0
106,0.0,9364000.0,531000.0
107,0.0,9364000.0,531500.0
108,1.206189054515124e-07,9363500.0,514000.0
109,0.0,9363500.0,514500.0
110,0.0,9363500.0,515000.0
111,0.0,9363500.0,515500.0
112,0.0,9363500.0,516000.0
113,0.0,9363500.0,516500.0
114,1.714157427449842e-07,9363500.0,517000.0
115,2.2855432365997893e-07,9363500.0,517500.0
116,2.2855432365997893e-07,9363500.0,518000.0
117,2.2855432365997893e-07,9363500.0,518500.0
118,1.2638556712337232e-06,9363500.0,519000.0
119,1.1495785094037336e-06,9363500.0,519500.0
120,1.1495785094037336e-06,9363500.0,520000.0
121,1.1495785094037336e-06,9363500.0,520500.0
122,1.1495785094037336e-06,9363500.0,521000.0
123,0.0,9363500.0,521500.0
124,0.0,9363500.0,522000.0
125,0.0,9363500.0,522500.0
126,0.0,9363500.0,523000.0
127,0.0,9363500.0,523500.0
128,0.0,9363500.0,524000.0
129,0.0,9363500.0,524500.0
130,0.0,9363500.0,525000.0
131,0.0,9363500.0,525500.0
132,0.0,9363500.0,526000.0
133,0.0,9363500.0,526500.0
134,0.0,9363500.0,527000.0
135,0.0,9363500.0,527500.0
136,0.0,9363500.0,528000.0
137,0.0,9363500.0,528500.0
138,0.0,9363500.0,529000.0
139,0.0,9363500.0,529500.0
140,0.0,9363500.0,530000.0
141,0.0,9363500.0,530500.0
142,0.0,9363500.0,531000.0
143,0.0,9363500.0,531500.0
144,0.0,9363500.0,532000.0
145,1.6396983959657195e-07,9363000.0,514000.0
146,3.144632327888764e-09,9363000.0,514500.0
147,3.144632327888764e-09,9363000.0,515000.0
148,3.144632327888764e-09,9363000.0,515500.0
149,3.144632327888764e-09,9363000.0,516000.0
150,3.144632327888764e-09,9363000.0,516500.0
151,2.301266398239233e-07,9363000.0,517000.0
152,2.301266398239233e-07,9363000.0,517500.0
153,2.2855432365997893e-07,9363000.0,518000.0
154,2.2855432365997893e-07,9363000.0,518500.0
155,1.3781328330637125e-06,9363000.0,519000.0
156,1.1495785094037336e-06,9363000.0,519500.0
157,1.1495785094037336e-06,9363000.0,520000.0
158,1.1495785094037336e-06,9363000.0,520500.0
