,effort,latitude,longitude,geometry,labels
112,1.0714740137163053e-08,9363500.0,516000.0,POINT (516000 9363500),113
113,5.989998680437884e-09,9363500.0,516500.0,POINT (516500 9363500),114
114,4.122186269462453e-09,9363500.0,517000.0,POINT (517000 9363500),115
115,5.0744959513790314e-09,9363500.0,517500.0,POINT (517500 9363500),116
116,4.377566931091091e-09,9363500.0,518000.0,POINT (518000 9363500),117
117,4.377566931091091e-09,9363500.0,518500.0,POINT (518500 9363500),118
118,2.1238335479698176e-08,9363500.0,519000.0,POINT (519000 9363500),119
119,2.2303221727313402e-08,9363500.0,519500.0,POINT (519500 9363500),120
120,3.044342148739082e-08,9363500.0,520000.0,POINT (520000 9363500),121
121,3.044342148739082e-08,9363500.0,520500.0,POINT (520500 9363500),122
122,2.5705889575890686e-08,9363500.0,521000.0,POINT (521000 9363500),123
123,1.1347799095865871e-08,9363500.0,521500.0,POINT (521500 9363500),124
124,1.072342606788561e-08,9363500.0,522000.0,POINT (522000 9363500),125
125,1.0564405384312483e-08,9363500.0,522500.0,POINT (522500 9363500),126
126,5.7870747532970605e-08,9363500.0,523000.0,POINT (523000 9363500),127
127,3.990315413185332e-08,9363500.0,523500.0,POINT (523500 9363500),128
128,8.861862748008242e-08,9363500.0,524000.0,POINT (524000 9363500),129
129,1.1173250973083512e-08,9363500.0,524500.0,POINT (524500 9363500),130
130,6.902019058012504e-08,9363500.0,525000.0,POINT (525000 9363500),131
131,1.2476065269996076e-07,9363500.0,525500.0,POINT (525500 9363500),132
132,2.4640733583155625e-08,9363500.0,526000.0,POINT (526000 9363500),133
133,1.9388031230444758e-08,9363500.0,526500.0,POINT (526500 9363500),134
134,1.248007122526126e-08,9363500.0,527000.0,POINT (527000 9363500),135
135,8.42052900246349e-08,9363500.0,527500.0,POINT (527500 9363500),136
136,9.592491766109137e-08,9363500.0,528000.0,POINT (528000 9363500),137
137,9.58097225213305e-08,9363500.0,528500.0,POINT (528500 9363500),138
138,3.2470118784535346e-09,9363500.0,529000.0,POINT (529000 9363500),139
139,1.9862856980671226e-09,9363500.0,529500.0,POINT (529500 9363500),140
140,4.945981868321668e-08,9363500.0,530000.0,POINT (530000 9363500),141
141,1.1320683701908027e-07,9363500.0,530500.0,POINT (530500 9363500),142
142,1.1372117766934082e-07,9363500.0,531000.0,POINT (531000 9363500),143
143,1.1440854073285803e-07,9363500.0,531500.0,POINT (531500 9363500),144
144,0.0,9363500.0,532000.0,POINT (532000 9363500),145
145,1.7138549818872692e-08,9363000.0,514000.0,POINT (514000 9363000),146
146,1.3723377702388938e-08,9363000.0,514500.0,POINT (514500 9363000),147
147,1.3606542304565386e-08,9363000.0,515000.0,POINT (515000 9363000),148
148,1.3489706906741834e-08,9363000.0,515500.0,POINT (515500 9363000),149
149,1.3489706906741834e-08,9363000.0,516000.0,POINT (516000 9363000),150
150,1.3489706906741834e-08,9363000.0,516500.0,POINT (516500 9363000),151
151,2.9812820357328154e-08,9363000.0,517000.0,POINT (517000 9363000),152
152,2.7070872227192206e-08,9363000.0,517500.0,POINT (517500 9363000),153
153,2.0789170886150077e-08,9363000.0,518000.0,POINT (518000 9363000),154
154,6.7399376594536754e-09,9363000.0,518500.0,POINT (518500 9363000),155
155,2.3168586664084532e-08,9363000.0,519000.0,POINT (519000 9363000),156
156,2.094542743142474e-08,9363000.0,519500.0,POINT (519500 9363000),157
157,2.5705889575890686e-08,9363000.0,520000.0,POINT (520000 9363000),158
158,2.5705889575890686e-08,9363000.0,520500.0,POINT (520500 9363000),159
159,2.5705889575890686e-08,9363000.0,521000.0,POINT (521000 9363000),160
160,2.2992927390215187e-08,9363000.0,521500.0,POINT (521500 9363000),161
161,2.0279965204539682e-08,9363000.0,522000.0,POINT (522000 9363000),162
162,2.0120944520966556e-08,9363000.0,522500.0,POINT (522500 9363000),163
163,6.86037006694774e-08,9363000.0,523000.0,POINT (523000 9363000),164
164,2.304609652533166e-08,9363000.0,523500.0,POINT (523500 9363000),165
165,1.6161536620822914e-07,9363000.0,524000.0,POINT (524000 9363000),166
166,1.452341269949117e-07,9363000.0,524500.0,POINT (524500 9363000),167
167,1.2226489716686407e-08,9363000.0,525000.0,POINT (525000 9363000),168
168,1.169987034488496e-08,9363000.0,525500.0,POINT (525500 9363000),169
169,3.8168666225038015e-08,9363000.0,526000.0,POINT (526000 9363000),170
170,3.518401654309729e-08,9363000.0,526500.0,POINT (526500 9363000),171
171,2.2170233068207832e-08,9363000.0,527000.0,POINT (527000 9363000),172
172,1.2906604580592052e-08,9363000.0,527500.0,POINT (527500 9363000),173
173,1.4739927298292896e-08,9363000.0,528000.0,POINT (528000 9363000),174
174,1.4966639514910004e-08,9363000.0,528500.0,POINT (528500 9363000),175
175,3.2470118784535346e-09,9363000.0,529000.0,POINT (529000 9363000),176
176,5.199512584118952e-09,9363000.0,529500.0,POINT (529500 9363000),177
177,4.928797791733738e-08,9363000.0,530000.0,POINT (530000 9363000),178
178,6.475246580697953e-08,9363000.0,530500.0,POINT (530500 9363000),179
179,1.1372117766934082e-07,9363000.0,531000.0,POINT (531000 9363000),180
180,1.1440854073285803e-07,9363000.0,531500.0,POINT (531500 9363000),181
181,2.0991611044377726e-08,9363000.0,532000.0,POINT (532000 9363000),182
182,1.95764766005369e-08,9362500.0,514000.0,POINT (514000 9362500),183
183,1.6161304484053143e-08,9362500.0,514500.0,POINT (514500 9362500),184
184,1.3957048498036046e-08,9362500.0,515000.0,POINT (515000 9362500),185
185,1.3957048498036046e-08,9362500.0,515500.0,POINT (515500 9362500),186
186,1.3957048498036046e-08,9362500.0,516000.0,POINT (516000 9362500),187
187,1.3957048498036046e-08,9362500.0,516500.0,POINT (516500 9362500),188
188,3.0296671268343784e-08,9362500.0,517000.0,POINT (517000 9362500),189
189,2.7554723138207837e-08,9362500.0,517500.0,POINT (517500 9362500),190
190,2.442212712754748e-08,9362500.0,518000.0,POINT (518000 9362500),191
191,1.4491563540221386e-08,9362500.0,518500.0,POINT (518500 9362500),192
192,2.3768207298742907e-08,9362500.0,519000.0,POINT (519000 9362500),193
193,2.551523094067504e-08,9362500.0,519500.0,POINT (519500 9362500),194
194,2.646348141890576e-08,9362500.0,520000.0,POINT (520000 9362500),195
195,2.6705005820096504e-08,9362500.0,520500.0,POINT (520500 9362500),196
196,2.6688496500375088e-08,9362500.0,521000.0,POINT (521000 9362500),197
197,2.3959024994978168e-08,9362500.0,521500.0,POINT (521500 9362500),198
198,2.1246062809302666e-08,9362500.0,522000.0,POINT (522000 9362500),199
199,2.108704212572954e-08,9362500.0,522500.0,POINT (522500 9362500),200
200,7.982747651213208e-08,9362500.0,523000.0,POINT (523000 9362500),201
201,3.432727196852853e-08,9362500.0,523500.0,POINT (523500 9362500),202
202,2.82994476962619e-07,9362500.0,524000.0,POINT (524000 9362500),203
203,6.1132448583432036e-09,9362500.0,525000.0,POINT (525000 9362500),204
204,1.2226489716686407e-08,9362500.0,525500.0,POINT (525500 9362500),205
205,3.8168666225038015e-08,9362500.0,526000.0,POINT (526000 9362500),206
206,5.63669541325487e-08,9362500.0,526500.0,POINT (526500 9362500),207
207,3.185531076577738e-08,9362500.0,527000.0,POINT (527000 9362500),208
208,2.2792909499347676e-08,9362500.0,527500.0,POINT (527500 9362500),209
209,1.5589315946049844e-08,9362500.0,528000.0,POINT (528000 9362500),210
210,1.4966639514910004e-08,9362500.0,528500.0,POINT (528500 9362500),211
211,3.2470118784535346e-09,9362500.0,529000.0,POINT (529000 9362500),212
212,1.003624540939755e-08,9362500.0,529500.0,POINT (529500 9362500),213
213,4.8772455619699466e-08,9362500.0,530000.0,POINT (530000 9362500),214
214,4.8772455619699466e-08,9362500.0,530500.0,POINT (530500 9362500),215
215,5.014481845197917e-08,9362500.0,531000.0,POINT (531000 9362500),216
216,4.879119160100177e-08,9362500.0,531500.0,POINT (531500 9362500),217
217,2.1505951694638272e-08,9362500.0,532000.0,POINT (532000 9362500),218
218,1.823626653996454e-08,9362000.0,514000.0,POINT (514000 9362000),219
219,1.689605647939218e-08,9362000.0,514500.0,POINT (514500 9362000),220
220,1.4691800493375077e-08,9362000.0,515000.0,POINT (515000 9362000),221
221,1.3957048498036046e-08,9362000.0,515500.0,POINT (515500 9362000),222
222,1.3957048498036046e-08,9362000.0,516000.0,POINT (516000 9362000),223
223,2.6487432540677465e-08,9362000.0,516500.0,POINT (516500 9362000),224
224,3.0296671268343784e-08,9362000.0,517000.0,POINT (517000 9362000),225
225,2.7554723138207837e-08,9362000.0,517500.0,POINT (517500 9362000),226
226,1.815693510622677e-08,9362000.0,518000.0,POINT (518000 9362000),227
227,1.3958787984876355e-08,9362000.0,518500.0,POINT (518500 9362000),228
228,1.4188386387045128e-08,9362000.0,519000.0,POINT (519000 9362000),229
229,2.6481328545438025e-08,9362000.0,519500.0,POINT (519500 9362000),230
230,2.6705005820096504e-08,9362000.0,520000.0,POINT (520000 9362000),231
231,2.6705005820096504e-08,9362000.0,520500.0,POINT (520500 9362000),232
232,2.667198718065367e-08,9362000.0,521000.0,POINT (521000 9362000),233
233,2.1246062809302666e-08,9362000.0,521500.0,POINT (521500 9362000),234
234,8.228467150737016e-08,9362000.0,522000.0,POINT (522000 9362000),235
235,2.0603993323348046e-08,9362000.0,522500.0,POINT (522500 9362000),236
236,7.982747651213208e-08,9362000.0,523000.0,POINT (523000 9362000),237
237,3.432727196852853e-08,9362000.0,523500.0,POINT (523500 9362000),238
238,1.3964750150836993e-07,9362000.0,524000.0,POINT (524000 9362000),239
239,5.266193718014472e-10,9362000.0,525000.0,POINT (525000 9362000),240
240,4.380473644718718e-08,9362000.0,525500.0,POINT (525500 9362000),241
241,3.8168666225038015e-08,9362000.0,526000.0,POINT (526000 9362000),242
242,6.017710412161549e-08,9362000.0,526500.0,POINT (526500 9362000),243
243,3.489199009813869e-08,9362000.0,527000.0,POINT (527000 9362000),244
244,2.2792909499347676e-08,9362000.0,527500.0,POINT (527500 9362000),245
245,4.242994632824667e-08,9362000.0,528000.0,POINT (528000 9362000),246
246,3.784938162453822e-08,9362000.0,528500.0,POINT (528500 9362000),247
