,effort,latitude,longitude
63,4.0447078464616587e-07,9364500.0,527500.0
64,4.0447078464616587e-07,9364500.0,528000.0
65,4.0447078464616587e-07,9364500.0,528500.0
66,2.1766785530421322e-07,9364500.0,529000.0
67,2.1766785530421322e-07,9364500.0,529500.0
68,2.1766785530421322e-07,9364500.0,530000.0
69,5.4416963826053306e-08,9364500.0,530500.0
70,0.0,9364500.0,531000.0
71,0.0,9364500.0,531500.0
72,3.318709620418765e-07,9364000.0,514000.0
73,3.318709620418765e-07,9364000.0,514500.0
74,3.318709620418765e-07,9364000.0,515000.0
75,3.318709620418765e-07,9364000.0,515500.0
76,3.318709620418765e-07,9364000.0,516000.0
77,3.318709620418765e-07,9364000.0,516500.0
78,3.318709620418765e-07,9364000.0,517000.0
79,3.318709620418765e-07,9364000.0,517500.0
80,3.318709620418765e-07,9364000.0,518000.0
81,3.318709620418765e-07,9364000.0,518500.0
82,1.2205628834858507e-08,9364000.0,519000.0
83,2.1470890153816474e-06,9364000.0,519500.0
84,2.1470890153816474e-06,9364000.0,520000.0
85,2.1470890153816474e-06,9364000.0,520500.0
86,2.1470890153816474e-06,9364000.0,521000.0
87,8.128567002200756e-07,9364000.0,521500.0
88,1.5534558791461544e-06,9364000.0,522000.0
89,1.5534558791461544e-06,9364000.0,522500.0
90,7.225752129399687e-08,9364000.0,523000.0
91,0.0,9364000.0,523500.0
92,0.0,9364000.0,524000.0
93,0.0,9364000.0,524500.0
94,0.0,9364000.0,525000.0
95,0.0,9364000.0,525500.0
96,5.4416963826053306e-08,9364000.0,526000.0
97,2.1766785530421322e-07,9364000.0,526500.0
98,2.1766785530421322e-07,9364000.0,527000.0
99,4.0447078464616587e-07,9364000.0,527500.0
100,4.0447078464616587e-07,9364000.0,528000.0
101,4.0447078464616587e-07,9364000.0,528500.0
102,2.1766785530421322e-07,9364000.0,529000.0
103,2.1766785530421322e-07,9364000.0,529500.0
104,5.4416963826053306e-08,9364000.0,530000.0
105,0.0,9364000.0,530500.0
106,0.0,9364000.0,531000.0
107,0.0,9364000.0,531500.0
108,3.318709620418765e-07,9363500.0,514000.0
109,3.318709620418765e-07,9363500.0,514500.0
110,3.318709620418765e-07,9363500.0,515000.0
111,3.318709620418765e-07,9363500.0,515500.0
112,3.318709620418765e-07,9363500.0,516000.0
113,3.318709620418765e-07,9363500.0,516500.0
114,3.318709620418765e-07,9363500.0,517000.0
115,3.318709620418765e-07,9363500.0,517500.0
116,3.318709620418765e-07,9363500.0,518000.0
117,3.318709620418765e-07,9363500.0,518500.0
118,1.2205628834858507e-08,9363500.0,519000.0
119,1.109673268337822e-06,9363500.0,519500.0
120,2.1470890153816474e-06,9363500.0,520000.0
121,2.1470890153816474e-06,9363500.0,520500.0
122,7.225752129399687e-08,9363500.0,521000.0
123,8.128567002200756e-07,9363500.0,521500.0
124,1.5534558791461544e-06,9363500.0,522000.0
125,1.5534558791461544e-06,9363500.0,522500.0
126,6.920611408528225e-08,9363500.0,523000.0
127,0.0,9363500.0,523500.0
128,0.0,9363500.0,524000.0
129,0.0,9363500.0,524500.0
130,0.0,9363500.0,525000.0
131,0.0,9363500.0,525500.0
132,0.0,9363500.0,526000.0
133,2.1766785530421322e-07,9363500.0,526500.0
134,2.1766785530421322e-07,9363500.0,527000.0
135,4.0447078464616587e-07,9363500.0,527500.0
136,4.0447078464616587e-07,9363500.0,528000.0
137,3.110693199751895e-07,9363500.0,528500.0
138,2.1766785530421322e-07,9363500.0,529000.0
139,2.1766785530421322e-07,9363500.0,529500.0
140,0.0,9363500.0,530000.0
141,0.0,9363500.0,530500.0
142,0.0,9363500.0,531000.0
143,0.0,9363500.0,531500.0
144,0.0,9363500.0,532000.0
145,3.318709620418765e-07,9363000.0,514000.0
146,3.318709620418765e-07,9363000.0,514500.0
147,3.318709620418765e-07,9363000.0,515000.0
148,3.318709620418765e-07,9363000.0,515500.0
149,3.318709620418765e-07,9363000.0,516000.0
150,3.318709620418765e-07,9363000.0,516500.0
151,3.318709620418765e-07,9363000.0,517000.0
152,3.318709620418765e-07,9363000.0,517500.0
153,3.318709620418765e-07,9363000.0,518000.0
154,3.318709620418765e-07,9363000.0,518500.0
155,1.2205628834858507e-08,9363000.0,519000.0
156,7.225752129399687e-08,9363000.0,519500.0
157,7.225752129399687e-08,9363000.0,520000.0
158,7.225752129399687e-08,9363000.0,520500.0
159,7.225752129399687e-08,9363000.0,521000.0
160,7.225752129399687e-08,9363000.0,521500.0
161,7.225752129399687e-08,9363000.0,522000.0
162,7.225752129399687e-08,9363000.0,522500.0
163,1.501297311478459e-08,9363000.0,523000.0
164,0.0,9363000.0,523500.0
165,0.0,9363000.0,524000.0
166,0.0,9363000.0,524500.0
167,0.0,9363000.0,525000.0
168,0.0,9363000.0,525500.0
169,0.0,9363000.0,526000.0
170,0.0,9363000.0,526500.0
171,2.1766785530421322e-07,9363000.0,527000.0
172,4.0447078464616587e-07,9363000.0,527500.0
173,4.0447078464616587e-07,9363000.0,528000.0
